,Random,H,HF,HFE,HFEB,HFEBM,HFEBMS
Random,50.0225,2.981,2.8396,0.7404,0.7034,0.6713,0.27499999999999997
H,97.0423,50.013799999999996,49.1968,39.948899999999995,39.5775,38.5602,30.305300000000003
HF,97.1959,50.8382,50.031099999999995,40.8585,40.5006,39.501599999999996,30.6956
HFE,99.258,60.045,59.128,50.0287,49.6124,48.4298,36.8641
HFEB,99.29480000000001,60.4014,59.487500000000004,50.3954,49.9885,48.8348,37.1381
HFEBM,99.33149999999999,61.5057,60.6219,51.7015,51.2873,50.0419,38.567499999999995
HFEBMS,99.7275,69.87100000000001,69.4621,63.3092,63.0158,61.574200000000005,49.9549
