,,S,M,MS,B,BS,BM,BMS,E,ES,EM,EMS,EB,EBS,EBM,EBMS,F,FS,FM,FMS,FB,FBS,FBM,FBMS,FE,FES,FEM,FEMS,FEB,FEBS,FEBM,FEBMS,H,HS,HM,HMS,HB,HBS,HBM,HBMS,HE,HES,HEM,HEMS,HEB,HEBS,HEBM,HEBMS,HF,HFS,HFM,HFMS,HFB,HFBS,HFBM,HFBMS,HFE,HFES,HFEM,HFEMS,HFEB,HFEBS,HFEBM,HFEBMS
EM,65.66,23.57,63.29,23.66,65.84,23.11,62.49,22.93,54.190000000000005,16.830000000000002,51.0,17.169999999999998,54.459999999999994,16.619999999999997,50.38,16.36,60.31999999999999,21.26,57.120000000000005,22.08,60.550000000000004,20.580000000000002,56.67,21.41,48.59,14.469999999999999,44.99,15.190000000000001,48.71,14.09,44.800000000000004,14.64,9.1,4.9799999999999995,9.36,4.82,8.5,5.0200000000000005,8.66,4.9,4.19,2.36,3.92,2.27,3.8,2.35,3.4799999999999995,2.26,8.95,4.92,9.31,4.77,8.200000000000001,4.9399999999999995,8.75,4.79,4.09,2.27,3.9600000000000004,2.16,3.6700000000000004,2.26,3.56,2.1399999999999997
EMS,91.07,59.88,88.71,57.76,90.8,59.919999999999995,88.38000000000001,58.06,86.44,52.290000000000006,83.25,50.470000000000006,86.1,52.22,82.95,50.739999999999995,88.18,56.330000000000005,84.86,55.21,88.07000000000001,56.599999999999994,84.35000000000001,55.510000000000005,82.69,48.449999999999996,78.96,47.3,82.19999999999999,48.43,78.62,47.760000000000005,23.16,14.860000000000001,22.21,15.989999999999998,22.61,14.649999999999999,21.27,15.920000000000002,17.44,10.69,16.54,11.709999999999999,17.2,10.47,15.82,11.559999999999999,22.84,15.0,21.91,16.32,22.53,14.99,21.240000000000002,16.21,17.2,10.89,16.24,11.77,17.04,10.82,15.690000000000001,11.700000000000001
EB,63.1,20.26,58.18,20.52,62.93,19.759999999999998,58.68,19.84,51.13999999999999,14.360000000000001,44.93,14.01,51.27,14.09,45.300000000000004,13.61,56.55,17.32,52.73,18.13,56.24,16.68,52.89,17.5,44.47,11.360000000000001,39.1,12.389999999999999,44.529999999999994,11.31,39.65,11.78,8.95,3.3000000000000003,8.780000000000001,3.39,7.920000000000001,3.2199999999999998,7.9399999999999995,3.37,3.45,1.41,3.4799999999999995,1.32,2.97,1.4000000000000001,2.91,1.35,8.260000000000002,3.5000000000000004,8.27,3.7199999999999998,7.449999999999999,3.38,7.489999999999999,3.62,3.39,1.37,3.61,1.3299999999999998,2.92,1.3,3.09,1.35
EBS,90.92,57.620000000000005,88.57000000000001,55.71,90.75999999999999,57.620000000000005,88.28,55.669999999999995,86.59,49.480000000000004,82.96,47.47,86.13,49.519999999999996,82.54,47.949999999999996,88.02,54.13,85.47,52.75,87.53999999999999,54.21,85.09,53.06999999999999,82.33,46.160000000000004,79.14,44.72,81.69999999999999,46.22,78.7,45.2,21.73,14.219999999999999,21.279999999999998,14.549999999999999,21.26,14.099999999999998,20.61,14.31,16.220000000000002,10.22,15.61,10.84,15.68,10.15,15.14,10.84,21.3,14.52,20.77,15.129999999999999,20.97,14.45,20.169999999999998,15.040000000000001,16.27,10.27,15.8,10.83,15.909999999999998,10.23,15.39,10.93
EBM,65.28,24.27,62.260000000000005,24.12,65.52,23.9,61.69,23.369999999999997,53.54,17.36,50.27,17.299999999999997,53.769999999999996,17.18,49.559999999999995,16.68,59.85,21.67,56.81,22.27,59.940000000000005,20.97,56.42,21.67,48.15,14.91,44.42,15.39,48.26,14.67,44.28,15.06,9.31,4.88,9.67,4.78,8.53,4.97,8.870000000000001,4.82,3.9800000000000004,2.2800000000000002,3.84,2.32,3.53,2.2800000000000002,3.3099999999999996,2.27,8.95,4.78,9.34,4.66,8.17,4.8500000000000005,8.85,4.66,3.8699999999999997,2.22,3.93,2.19,3.38,2.1999999999999997,3.44,2.13
EBMS,91.09,59.730000000000004,88.64999999999999,58.03,90.71000000000001,59.919999999999995,88.4,58.19,86.8,51.85999999999999,83.34,50.12,86.49,51.83,83.09,50.260000000000005,88.41,55.93,84.71,55.21,88.1,56.169999999999995,84.24000000000001,55.44,82.93,48.02,78.86,46.79,82.5,47.870000000000005,78.66,47.14,22.400000000000002,14.93,21.89,16.009999999999998,22.1,14.71,20.990000000000002,15.83,17.0,10.549999999999999,16.34,11.72,16.89,10.31,15.620000000000001,11.51,22.18,15.049999999999999,21.65,16.2,22.17,14.97,21.2,16.009999999999998,16.8,10.870000000000001,16.189999999999998,11.72,16.78,10.7,15.67,11.58
F,57.28,17.94,52.35999999999999,18.240000000000002,57.230000000000004,17.59,52.690000000000005,18.05,45.17,11.78,40.02,12.17,45.28,11.59,40.32,12.06,50.77,15.440000000000001,46.94,16.439999999999998,51.1,14.799999999999999,47.38,15.93,39.26,9.65,35.15,10.65,39.4,9.34,35.57,10.489999999999998,6.52,2.54,6.1,2.68,5.56,2.3800000000000003,5.220000000000001,2.63,2.69,1.0999999999999999,2.27,1.1400000000000001,2.23,1.06,2.03,1.09,6.3100000000000005,2.5100000000000002,6.12,2.6,5.41,2.37,5.21,2.54,2.5700000000000003,1.03,2.33,1.02,2.1399999999999997,0.96,2.08,0.98
FS,87.63,52.980000000000004,84.48,51.05,87.32,52.790000000000006,84.42,51.12,82.28999999999999,45.019999999999996,78.14,43.21,81.91000000000001,45.18,78.25,43.28,83.97,49.830000000000005,81.44,47.839999999999996,83.43,50.22,81.15,48.0,77.92,42.01,74.05000000000001,40.410000000000004,77.12,42.120000000000005,73.9,40.58,16.76,11.35,15.85,11.78,16.28,11.18,15.42,11.82,12.75,8.16,11.790000000000001,8.52,12.479999999999999,8.06,11.559999999999999,8.42,16.5,11.63,15.73,12.07,15.909999999999998,11.44,15.329999999999998,12.04,12.6,8.28,11.81,8.85,12.3,8.07,11.67,8.64
FM,59.17,21.42,55.11000000000001,21.27,59.199999999999996,20.8,55.60000000000001,20.580000000000002,47.8,14.680000000000001,43.16,14.42,48.03,14.39,43.64,14.000000000000002,54.26,18.709999999999997,50.2,19.32,54.410000000000004,18.11,50.39,18.6,42.57,12.42,38.09,12.98,42.75,12.06,38.379999999999995,12.559999999999999,6.87,3.9800000000000004,6.819999999999999,3.7699999999999996,6.34,4.05,6.21,3.85,3.04,1.6099999999999999,2.8000000000000003,1.66,2.73,1.6400000000000001,2.4699999999999998,1.66,6.69,4.06,6.67,3.7600000000000002,5.96,4.01,6.01,3.8,2.98,1.63,2.9499999999999997,1.67,2.65,1.63,2.56,1.5699999999999998
FMS,87.56,54.44,84.82,52.83,87.31,54.800000000000004,84.46000000000001,52.849999999999994,81.71000000000001,46.82,78.74,45.17,81.37,47.04,78.17,45.16,83.91,51.27,80.87,50.01,83.58,51.480000000000004,80.60000000000001,50.13999999999999,77.31,43.120000000000005,74.06,42.16,76.9,43.230000000000004,73.68,42.35,16.900000000000002,11.74,16.04,12.16,16.7,11.61,15.809999999999999,12.31,13.28,8.05,12.35,8.57,12.78,7.969999999999999,11.98,8.5,16.32,11.88,15.7,12.049999999999999,16.43,11.75,15.590000000000002,12.04,12.73,8.39,11.86,8.73,12.57,8.23,11.59,8.63
FB,57.120000000000005,18.69,52.0,18.39,56.85,18.34,52.28,18.3,44.769999999999996,12.23,39.76,12.36,44.93,11.959999999999999,40.339999999999996,12.389999999999999,50.79,15.58,46.73,16.34,50.870000000000005,15.27,47.12,16.18,38.97,10.16,34.58,10.7,39.190000000000005,9.700000000000001,34.949999999999996,10.63,6.64,2.54,6.2,2.7,5.72,2.41,5.42,2.59,2.74,1.03,2.31,1.1199999999999999,2.15,1.01,2.0,1.06,6.279999999999999,2.4899999999999998,6.12,2.59,5.489999999999999,2.3800000000000003,5.33,2.6100000000000003,2.5700000000000003,0.9299999999999999,2.3,1.02,2.08,0.89,2.03,0.9900000000000001
FBS,88.17,53.25,85.02,51.11,87.68,53.03,84.77,51.22,83.03,45.379999999999995,78.92,43.16,82.67999999999999,45.42,78.61,43.39,84.78,49.65,82.01,47.86,84.17,50.160000000000004,81.55,47.9,78.91,41.79,74.76,40.52,78.02,42.02,74.21,40.67,16.57,11.28,15.559999999999999,11.61,15.959999999999999,11.05,14.940000000000001,11.66,12.47,8.02,11.67,8.39,12.21,7.88,11.32,8.260000000000002,16.45,11.59,15.590000000000002,12.02,15.809999999999999,11.39,15.07,12.01,12.540000000000001,8.21,11.89,8.77,12.29,8.01,11.65,8.57
FBM,58.53,22.12,54.449999999999996,21.33,58.879999999999995,21.57,55.1,20.93,47.11,14.91,42.76,14.44,47.69,14.69,43.19,14.26,53.74,19.17,49.87,19.5,53.620000000000005,18.68,49.919999999999995,18.9,41.980000000000004,12.55,37.480000000000004,13.26,42.28,12.11,37.84,12.839999999999998,7.12,3.93,6.819999999999999,3.8899999999999997,6.4399999999999995,3.9800000000000004,6.2700000000000005,3.9600000000000004,3.26,1.69,2.94,1.7399999999999998,2.8400000000000003,1.68,2.5,1.7000000000000002,6.84,3.8,6.64,3.7600000000000002,5.970000000000001,3.7600000000000002,6.05,3.84,3.0700000000000003,1.6400000000000001,2.94,1.66,2.64,1.6400000000000001,2.56,1.53
FBMS,88.09,54.459999999999994,85.00999999999999,53.04,87.67,54.67999999999999,84.5,53.03,82.44,46.760000000000005,79.03999999999999,45.07,81.91000000000001,46.78,78.28,44.89,84.15,50.56,81.11,49.65,83.81,50.739999999999995,80.60000000000001,49.84,77.89,42.620000000000005,74.26,41.9,77.33,42.71,73.91,42.03,16.73,11.700000000000001,15.93,12.25,16.56,11.53,15.82,12.31,12.98,8.01,12.19,8.57,12.58,7.91,11.85,8.49,16.14,11.88,15.43,12.030000000000001,16.25,11.690000000000001,15.5,11.92,12.520000000000001,8.34,11.790000000000001,8.67,12.32,8.17,11.57,8.53
FE,68.88,24.34,64.55,24.6,69.12,23.76,64.72,24.12,57.78,17.330000000000002,51.94,17.61,58.02,17.05,52.35999999999999,17.150000000000002,62.73,20.78,58.620000000000005,22.470000000000002,62.96000000000001,20.119999999999997,59.17,21.73,51.13999999999999,14.249999999999998,46.52,15.82,51.54,14.04,46.94,15.15,10.07,4.61,9.62,4.52,8.7,4.45,8.33,4.52,4.47,1.9300000000000002,4.09,1.9,3.74,1.96,3.51,1.92,10.0,4.35,9.8,4.4799999999999995,8.709999999999999,4.2,8.49,4.44,4.49,1.79,4.26,1.8800000000000001,3.7600000000000002,1.78,3.62,1.8499999999999999
FES,92.22,61.199999999999996,90.03,59.43000000000001,92.03,61.11,89.89,59.489999999999995,88.09,53.400000000000006,85.16,50.9,87.94,53.349999999999994,84.87,51.22,89.37,57.47,87.33999999999999,56.03,89.08,57.440000000000005,87.1,56.31,84.39,50.0,81.67999999999999,48.32,83.96000000000001,50.12,81.46,48.61,23.64,16.08,22.93,16.29,22.869999999999997,15.9,22.31,16.3,17.88,11.790000000000001,16.97,12.520000000000001,17.349999999999998,11.77,16.64,12.44,23.36,16.32,22.89,17.04,22.66,16.18,22.400000000000002,16.98,17.89,11.89,16.93,12.61,17.48,11.799999999999999,16.61,12.41
FEM,70.83,28.439999999999998,67.42,28.27,70.52000000000001,27.93,67.41,27.72,59.940000000000005,21.01,55.76,20.96,59.830000000000005,20.61,55.92,20.31,65.93,25.569999999999997,62.150000000000006,26.58,65.5,24.79,62.07,25.95,54.39000000000001,18.12,49.84,18.740000000000002,54.61,17.5,50.18,18.29,11.1,6.140000000000001,11.110000000000001,5.779999999999999,10.36,6.16,10.290000000000001,5.86,5.37,2.83,5.09,2.76,4.82,2.85,4.42,2.81,10.66,5.9799999999999995,10.84,5.87,9.93,6.069999999999999,10.2,5.93,5.1499999999999995,2.74,5.0200000000000005,2.69,4.58,2.7,4.33,2.65
FEMS,92.03,62.419999999999995,89.99000000000001,60.440000000000005,91.92,62.7,89.79,60.5,87.77000000000001,55.04,85.42,52.690000000000005,87.66000000000001,55.11000000000001,84.91,53.02,89.51,58.85,86.87,57.67,89.09,59.099999999999994,86.53999999999999,57.97,84.59,51.17,81.21000000000001,49.72,84.16,51.160000000000004,80.83,49.96,24.13,16.04,23.47,17.130000000000003,23.669999999999998,16.03,22.74,17.27,18.57,11.62,17.68,12.36,18.05,11.51,17.169999999999998,12.3,23.75,16.32,23.03,17.48,23.54,16.439999999999998,22.400000000000002,17.48,18.29,12.049999999999999,17.34,12.509999999999998,17.97,12.030000000000001,16.8,12.61
FEB,68.45,25.0,64.03999999999999,24.93,68.61,24.36,64.44,24.47,56.940000000000005,17.78,51.32,17.97,57.42,17.37,51.949999999999996,17.669999999999998,62.5,21.47,58.52,22.770000000000003,62.580000000000005,20.97,59.099999999999994,22.16,50.6,14.89,45.94,16.02,50.82,14.59,46.410000000000004,15.440000000000001,10.24,4.61,9.85,4.54,8.790000000000001,4.3999999999999995,8.62,4.5,4.42,1.8900000000000001,4.09,1.8800000000000001,3.5700000000000003,1.8900000000000001,3.49,1.92,9.9,4.36,9.86,4.47,8.649999999999999,4.2,8.61,4.44,4.36,1.77,4.18,1.92,3.5900000000000003,1.73,3.5900000000000003,1.9
FEBS,92.51,60.95,90.3,59.440000000000005,92.52,60.9,90.22,59.38,88.57000000000001,53.32,85.61,50.96000000000001,88.58,53.16,85.18,51.22,89.74,57.11000000000001,87.7,56.15,89.41,57.04,87.5,56.18,85.09,49.86,82.17999999999999,48.370000000000005,84.81,49.88,81.86,48.49,23.14,15.920000000000002,22.25,16.150000000000002,22.39,15.8,21.65,16.12,17.4,11.64,16.619999999999997,12.370000000000001,16.96,11.59,16.33,12.280000000000001,23.07,16.05,22.32,16.85,22.53,16.03,21.85,16.86,17.71,11.700000000000001,16.72,12.41,17.349999999999998,11.65,16.400000000000002,12.27
FEBM,70.49,29.29,67.16,29.23,70.43,28.660000000000004,67.12,28.71,59.13,21.52,55.32,21.22,59.4,21.11,55.300000000000004,20.68,65.31,26.1,61.85000000000001,27.11,65.16999999999999,25.330000000000002,61.760000000000005,26.400000000000002,53.669999999999995,18.509999999999998,49.220000000000006,18.92,54.0,17.96,49.54,18.57,11.35,5.96,11.06,5.82,10.51,5.96,10.27,5.92,5.43,2.88,5.08,2.87,4.83,2.88,4.38,2.87,10.99,5.779999999999999,10.7,5.86,10.209999999999999,5.83,10.190000000000001,6.01,5.16,2.8000000000000003,5.0200000000000005,2.83,4.5,2.76,4.33,2.74
FEBMS,92.33,62.18,90.01,60.47,91.99000000000001,62.56,89.72,60.64000000000001,88.27000000000001,54.61,85.35000000000001,52.5,88.1,54.67999999999999,84.77,52.669999999999995,89.7,58.120000000000005,86.87,57.29,89.27000000000001,58.589999999999996,86.47,57.66,85.06,50.63999999999999,81.27,49.419999999999995,84.49,50.64999999999999,80.9,49.53,23.630000000000003,16.09,23.169999999999998,17.26,23.36,16.0,22.66,17.23,18.310000000000002,11.44,17.330000000000002,12.46,17.87,11.219999999999999,16.91,12.36,23.45,16.23,22.689999999999998,17.48,23.35,16.24,22.34,17.37,17.88,11.86,16.919999999999998,12.57,17.669999999999998,11.73,16.56,12.659999999999998
H,95.0,84.44,94.66,83.06,94.95,84.61,94.49,83.39,91.86,77.63,91.01,76.39,91.57,77.94,90.89,76.52,93.57,83.14,93.12,81.84,93.60000000000001,83.56,92.84,82.27,89.82,75.56,88.79,74.64,89.58,75.89,88.44,74.99,49.62,40.56,48.46,41.67,48.79,40.33,48.04,41.660000000000004,40.69,31.19,39.739999999999995,32.14,39.51,30.89,38.940000000000005,31.81,48.46,40.56,47.760000000000005,41.4,47.9,40.42,47.48,41.349999999999994,39.77,31.1,39.0,32.029999999999994,38.81,30.9,38.3,31.630000000000003
HS,97.92999999999999,89.83,97.1,89.2,97.96000000000001,89.78,97.21,89.25,96.50999999999999,85.31,95.27,84.46000000000001,96.39999999999999,85.53,95.56,84.69,97.50999999999999,88.19,96.41,88.17,97.56,88.38000000000001,96.56,88.14999999999999,95.87,83.2,94.42,82.94,95.67999999999999,83.55,94.51,82.88,59.599999999999994,50.29,58.46,50.32,58.830000000000005,50.39,57.66,50.6,53.269999999999996,43.269999999999996,51.800000000000004,43.82,52.49,43.36,51.01,43.99,58.97,50.580000000000005,57.67,50.91,58.17,50.82,56.85,51.190000000000005,52.53,43.669999999999995,51.32,44.190000000000005,51.71,43.84,50.339999999999996,44.269999999999996
HM,95.49,85.95,94.74000000000001,84.8,95.37,85.91,94.57,85.1,92.56,79.08,90.98,77.98,92.17,79.3,90.83,78.27,93.95,84.14,93.64,83.77,93.99,84.41,93.27,83.87,90.24,76.77000000000001,89.25999999999999,76.14999999999999,89.89,77.09,89.13,76.42,50.89,41.620000000000005,50.080000000000005,42.74,50.09,41.27,49.6,42.57,41.660000000000004,32.46,40.92,33.35,41.03,32.22,40.35,33.050000000000004,49.55,41.589999999999996,49.0,42.46,49.02,41.349999999999994,48.699999999999996,42.19,40.47,32.300000000000004,39.83,32.98,40.0,32.17,39.32,32.51
HMS,97.77,89.38000000000001,97.41,88.12,97.83,89.25999999999999,97.47,88.22,96.55,84.23,95.8,82.88,96.50999999999999,84.28999999999999,95.76,83.0,97.22,88.05,96.67,87.03999999999999,97.22,88.06,96.67,87.22999999999999,95.78,82.73,94.63000000000001,81.8,95.65,82.78,94.55,81.87,58.95,49.76,57.65,49.99,57.89,49.93,56.58,49.96,52.72,42.93,51.27,42.71,51.800000000000004,42.970000000000006,50.690000000000005,42.71,58.37,50.21,57.04,50.080000000000005,57.36,50.46000000000001,56.00000000000001,50.160000000000004,52.05,43.419999999999995,50.629999999999995,42.9,50.89,43.56,49.91,42.970000000000006
HB,95.64,84.54,95.05,83.36,95.49,84.75,94.81,83.72,92.71000000000001,77.88000000000001,91.71000000000001,76.72,92.44,78.18,91.60000000000001,76.99000000000001,94.31,83.53,93.58999999999999,82.35,94.25,83.89,93.37,82.77,91.01,76.05,89.72,75.1,90.72,76.25999999999999,89.53999999999999,75.5,50.260000000000005,41.17,49.04,42.76,49.44,41.0,48.84,42.76,41.25,32.11,40.29,33.01,40.03,31.669999999999998,39.489999999999995,32.7,49.17,41.03,48.559999999999995,42.3,48.59,40.86,48.38,42.29,40.239999999999995,31.790000000000003,39.56,32.93,39.25,31.46,38.9,32.58
HBS,98.02,90.0,97.08,89.27000000000001,97.99,89.99000000000001,97.11,89.29,96.72,85.68,95.27,84.66,96.47,85.99,95.47,84.83000000000001,97.54,88.4,96.50999999999999,88.23,97.61999999999999,88.63,96.63000000000001,88.17,95.94,83.43,94.45,83.11,95.81,83.75,94.48,83.08,59.68,50.22,58.589999999999996,50.19,59.07,50.21,57.699999999999996,50.41,53.68000000000001,43.19,52.09,43.769999999999996,52.86,43.21,51.17,43.919999999999995,58.91,50.33,57.809999999999995,50.83,58.28,50.480000000000004,56.910000000000004,51.0,52.78,43.519999999999996,51.5,44.04,52.019999999999996,43.64,50.5,44.1
HBM,95.95,86.33,95.22,84.99,95.92,86.27,95.15,85.38,93.49,79.5,91.8,78.24,93.12,79.73,91.71000000000001,78.55,94.69999999999999,84.45,94.25,84.15,94.73,84.67,93.89,84.31,91.42,77.47,90.24,76.69,91.10000000000001,77.74,90.05,77.02,51.739999999999995,42.49,50.870000000000005,43.55,50.949999999999996,42.26,50.44,43.45,42.309999999999995,33.660000000000004,41.6,34.0,41.75,33.26,41.08,33.67,50.449999999999996,42.44,49.830000000000005,43.08,49.95,42.26,49.55,42.94,41.099999999999994,33.36,40.45,33.75,40.73,33.15,40.06,33.339999999999996
HBMS,97.83,89.59,97.37,88.03999999999999,97.78999999999999,89.47,97.38,88.08,96.56,84.55,95.87,82.88,96.46000000000001,84.64,95.83,82.97,97.14,88.23,96.63000000000001,87.06,97.17,88.33,96.64,87.19,95.69,82.88,94.53,81.78,95.58,82.98,94.42,81.71000000000001,58.81999999999999,49.93,57.989999999999995,50.09,57.95,49.97,56.99999999999999,50.019999999999996,52.769999999999996,43.01,51.66,42.730000000000004,52.05,43.07,51.080000000000005,42.68,58.35,50.349999999999994,57.330000000000005,50.260000000000005,57.50999999999999,50.519999999999996,56.32,50.33,52.25,43.44,50.99,42.84,51.27,43.57,50.239999999999995,42.88
